sname,date,layer,depth,bottom,temperature,salinity,quantum,DO,turbidity,chlorophyll
kobe,2020/9/1 0:00,0.5,0.5,,29.42,25.77,0,138,1.92,15.2
kobe,2020/9/1 0:00,1,1,,29.7,26.76,0,139.8,1.66,9.8
kobe,2020/9/1 0:00,2,2,,29.02,28.15,0,125.3,1.76,6.1
kobe,2020/9/1 0:00,3,3,,28.6,28.71,0,108.7,1.91,6.4
kobe,2020/9/1 0:00,4,4,,27.37,29.88,0,72.6,1.97,9.8
kobe,2020/9/1 0:00,5,5,,26.68,30.6,0,54,1.73,9.4
kobe,2020/9/1 0:00,6,6,,26.22,30.87,0,56.1,1.94,20.7
kobe,2020/9/1 0:00,7,7,,24.56,31.71,0,36.5,1.29,1
kobe,2020/9/1 0:00,8,8,,24.56,31.79,0,34.6,1.4,1
kobe,2020/9/1 0:00,9,9,,24.38,31.77,0,30.8,1.51,0.8
kobe,2020/9/1 0:00,10,10,,24.28,31.81,0,27.2,1.45,0.8
kobe,2020/9/1 0:00,11,11,,24.26,31.88,0,34.5,1.75,0.8
kobe,2020/9/1 0:00,12,12,,24,31.93,0,24.5,1.87,0.7
kobe,2020/9/1 0:00,13,13,,23.73,31.89,0,19.1,1.72,0.6
kobe,2020/9/1 0:00,14,14,,23.42,31.98,0,9,2.19,0.5
kobe,2020/9/1 0:00,15,15,,23.43,32,0,8.3,2.38,0.5
kobe,2020/9/1 0:00,16,16,,23.23,32.1,0,5.6,3.51,0.5
kobe,2020/9/1 0:00,17,16.3,B,23.26,32.12,0.1,5.1,3.36,0.5
kobe,2020/9/1 0:00,18,18,,*,*,*,*,*,*
kobe,2020/9/1 0:00,19,19,,*,*,*,*,*,*
kobe,2020/9/1 0:00,20,20,,*,*,*,*,*,*
kobe,2020/9/1 0:00,21,21,,*,*,*,*,*,*
kobe,2020/9/1 0:00,22,22,,*,*,*,*,*,*
kobe,2020/9/1 0:00,23,23,,*,*,*,*,*,*
kobe,2020/9/1 0:00,24,24,,*,*,*,*,*,*
kobe,2020/9/1 0:00,25,25,,*,*,*,*,*,*
kobe,2020/9/1 0:00,26,26,,*,*,*,*,*,*
kobe,2020/9/1 0:00,27,27,,*,*,*,*,*,*
kobe,2020/9/1 0:00,28,28,,*,*,*,*,*,*
kobe,2020/9/1 0:00,29,29,,*,*,*,*,*,*
kobe,2020/9/1 1:00,0.5,0.5,,29.33,25.97,0,135.9,1.73,12
kobe,2020/9/1 1:00,1,1,,29.56,27.11,0,137.4,1.64,7.4
kobe,2020/9/1 1:00,2,2,,29.52,27.26,0,137.9,1.56,6.8
kobe,2020/9/1 1:00,3,3,,29.18,27.89,0,132.7,1.5,4.9
kobe,2020/9/1 1:00,4,4,,27.25,30.08,0,85.3,2.08,8.7
kobe,2020/9/1 1:00,5,5,,26.39,30.81,0,58.3,1.78,10.4
kobe,2020/9/1 1:00,6,6,,26.19,30.97,0,58.9,1.83,11.3
kobe,2020/9/1 1:00,7,7,,25.27,31.71,0,62.9,1.44,2
kobe,2020/9/1 1:00,8,8,,25.19,31.76,0,62.8,1.44,1.8
kobe,2020/9/1 1:00,9,9,,24.96,31.81,0,49.4,1.37,1.5
kobe,2020/9/1 1:00,10,10,,25.04,31.86,0,58.7,1.38,1.8
kobe,2020/9/1 1:00,11,11,,24.87,31.96,0,56.8,1.58,1.6
kobe,2020/9/1 1:00,12,12,,24.82,31.95,0,53.2,1.8,1.6
kobe,2020/9/1 1:00,13,13,,24.61,32,0,44.8,2.2,1.2
kobe,2020/9/1 1:00,14,14,,24.19,31.92,0,33.9,1.92,0.8
kobe,2020/9/1 1:00,15,15,,24.01,31.97,0,24.5,2.18,0.7
kobe,2020/9/1 1:00,16,16,,23.84,31.97,0,22.6,2.26,0.7
kobe,2020/9/1 1:00,17,16.4,B,23.45,32.14,0.1,11.1,2.95,0.5
kobe,2020/9/1 1:00,18,18,,*,*,*,*,*,*
kobe,2020/9/1 1:00,19,19,,*,*,*,*,*,*
kobe,2020/9/1 1:00,20,20,,*,*,*,*,*,*
kobe,2020/9/1 1:00,21,21,,*,*,*,*,*,*
kobe,2020/9/1 1:00,22,22,,*,*,*,*,*,*
kobe,2020/9/1 1:00,23,23,,*,*,*,*,*,*
kobe,2020/9/1 1:00,24,24,,*,*,*,*,*,*
kobe,2020/9/1 1:00,25,25,,*,*,*,*,*,*
kobe,2020/9/1 1:00,26,26,,*,*,*,*,*,*
kobe,2020/9/1 1:00,27,27,,*,*,*,*,*,*
kobe,2020/9/1 1:00,28,28,,*,*,*,*,*,*
kobe,2020/9/1 1:00,29,29,,*,*,*,*,*,*
kobe,2020/9/1 2:00,0.5,0.5,,29.3,26.57,0,132.1,1.7,9.8
kobe,2020/9/1 2:00,1,1,,29.27,27.32,0,130.6,1.63,7.5
kobe,2020/9/1 2:00,2,2,,29.21,27.72,0,128.6,1.53,5
kobe,2020/9/1 2:00,3,3,,28.19,29.11,0,107.2,1.91,7.2
kobe,2020/9/1 2:00,4,4,,27.1,30.23,0,70.4,2.08,10.9
kobe,2020/9/1 2:00,5,5,,26.33,30.73,0,34.2,1.91,7.6
kobe,2020/9/1 2:00,6,6,,26.24,30.81,0,41.3,1.87,8.7
kobe,2020/9/1 2:00,7,7,,25.75,31.37,0,46.5,1.99,10.9
kobe,2020/9/1 2:00,8,8,,25.59,31.7,0,56.2,1.28,3.7
kobe,2020/9/1 2:00,9,9,,25.52,31.76,0,68,1.2,2.7
kobe,2020/9/1 2:00,10,10,,25.62,31.84,0,76,1.12,2.7
kobe,2020/9/1 2:00,11,11,,25.38,31.97,0,75.4,0.99,2
kobe,2020/9/1 2:00,12,12,,24.95,32.02,0,70.8,1.11,1.6
kobe,2020/9/1 2:00,13,13,,24.48,32.02,0,42.3,1.94,1.3
kobe,2020/9/1 2:00,14,14,,24.38,32.06,0,36.2,1.95,1.3
kobe,2020/9/1 2:00,15,15,,24.25,32.06,0,31.7,2.34,1.1
kobe,2020/9/1 2:00,16,16,,23.56,32.07,0,18.7,2.91,0.5
kobe,2020/9/1 2:00,17,16.4,B,23.54,32.14,0.1,12.3,3,0.6
kobe,2020/9/1 2:00,18,18,,*,*,*,*,*,*
kobe,2020/9/1 2:00,19,19,,*,*,*,*,*,*
kobe,2020/9/1 2:00,20,20,,*,*,*,*,*,*
kobe,2020/9/1 2:00,21,21,,*,*,*,*,*,*
kobe,2020/9/1 2:00,22,22,,*,*,*,*,*,*
kobe,2020/9/1 2:00,23,23,,*,*,*,*,*,*
kobe,2020/9/1 2:00,24,24,,*,*,*,*,*,*
kobe,2020/9/1 2:00,25,25,,*,*,*,*,*,*
kobe,2020/9/1 2:00,26,26,,*,*,*,*,*,*
kobe,2020/9/1 2:00,27,27,,*,*,*,*,*,*
kobe,2020/9/1 2:00,28,28,,*,*,*,*,*,*
kobe,2020/9/1 2:00,29,29,,*,*,*,*,*,*
kobe,2020/9/1 3:00,0.5,0.5,,29.22,25.13,0,123.9,2.1,13.8
kobe,2020/9/1 3:00,1,1,,29.26,25.22,0,124.7,2.03,13.6
kobe,2020/9/1 3:00,2,2,,29.32,25.63,0,126.3,1.99,13
kobe,2020/9/1 3:00,3,3,,28.87,28.31,0,124.5,1.79,7.7
kobe,2020/9/1 3:00,4,4,,27.67,29.65,0,68.3,1.92,8
kobe,2020/9/1 3:00,5,5,,26.09,30.86,0,36,1.95,8.6
kobe,2020/9/1 3:00,6,6,,26.08,31.02,0,41.5,1.81,9.1
kobe,2020/9/1 3:00,7,7,,26.15,31.13,0,51.5,1.63,7.9
kobe,2020/9/1 3:00,8,8,,25.49,31.48,0,54,1.66,5
kobe,2020/9/1 3:00,9,9,,25.46,31.49,0,50.2,1.52,4.1
kobe,2020/9/1 3:00,10,10,,25.62,31.62,0,63.1,1.24,3.1
